Model,Control_Scale,mAP@0.5,mAP@0.5:0.95
Background Subtraction,0.0,0.46315982500424013,0.20031027653468386
Background Subtraction,0.05,0.4785997780708682,0.21203697644147831
Background Subtraction,0.1,0.49208597521416514,0.22332059732245493
Background Subtraction,0.15000000000000002,0.5035285460249986,0.23385170787945486
Background Subtraction,0.2,0.5122126326475835,0.24323453444817056
Background Subtraction,0.25,0.5200273633726751,0.2522688703492241
Background Subtraction,0.30000000000000004,0.5280394925656147,0.2611319624397626
Background Subtraction,0.35000000000000003,0.5361835665332462,0.26987175342925174
Background Subtraction,0.4,0.5438267965819745,0.2782591031469531
Background Subtraction,0.45,0.5514870510522095,0.2863677826057241
Background Subtraction,0.5,0.5594496033703624,0.2946507047010694
Background Subtraction,0.55,0.5669978633450985,0.301970651363499
Background Subtraction,0.6000000000000001,0.5759176850001656,0.3090898993364424
Background Subtraction,0.65,0.5850996294856028,0.3151777351056554
Background Subtraction,0.7000000000000001,0.5924009347871954,0.31994703380074
Background Subtraction,0.75,0.5990473768058993,0.32322435257156823
Background Subtraction,0.8,0.6051888840423393,0.32484791783415534
Background Subtraction,0.8500000000000001,0.6102871475699806,0.3255487912003657
Background Subtraction,0.9,0.6142873370152999,0.3248962472667573
Background Subtraction,0.9500000000000001,0.6172888505183446,0.322908939640964
Background Subtraction,1.0,0.6196575960685019,0.3194831782625124
Background Subtraction,1.05,0.6215101723460784,0.3153417300624647
Background Subtraction,1.1,0.6226326931334459,0.31001426706369506
Background Subtraction,1.15,0.6233887181734901,0.30433829571227616
Background Subtraction,1.2,0.6228526920222893,0.2975599772337894
Background Subtraction,1.25,0.6217139388038809,0.29039330335584157
Background Subtraction,1.3,0.6206732709852112,0.2833200806168021
Background Subtraction,1.35,0.6188148325923076,0.2759056267439866
Background Subtraction,1.4,0.616365476912842,0.2681923899295827
Background Subtraction,1.45,0.613016769163956,0.2601027184878481
Background Subtraction,1.5,0.6085370216851138,0.2517667849532614
Mixed,0.0,0.4401908738539773,0.186428743585132
Mixed,0.05,0.45408627987132255,0.1972882128678896
Mixed,0.1,0.4671839115571241,0.2081557822878136
Mixed,0.15000000000000002,0.4794968368851881,0.2186242819756195
Mixed,0.2,0.49007430792514445,0.2286142737795415
Mixed,0.25,0.502361648491409,0.23930799297910385
Mixed,0.30000000000000004,0.5147309154586376,0.2502777348402595
Mixed,0.35000000000000003,0.5269096562533004,0.26107390074786413
Mixed,0.4,0.5367834067543927,0.2704209394525657
Mixed,0.45,0.5465401692419041,0.2792161274015918
Mixed,0.5,0.556119822747739,0.2872715302438823
Mixed,0.55,0.5646740540872784,0.29440199949082213
Mixed,0.6000000000000001,0.5732206260559009,0.30071660452442955
Mixed,0.65,0.5816228717469487,0.30621346338571204
Mixed,0.7000000000000001,0.5897582131636455,0.31050535065166956
Mixed,0.75,0.596427308879243,0.31369131283363305
Mixed,0.8,0.6029669927011785,0.31583143957882437
Mixed,0.8500000000000001,0.6091611419242087,0.3171748997716156
Mixed,0.9,0.6141867993963821,0.317616424850791
Mixed,0.9500000000000001,0.6194661238933423,0.31726951334825715
Mixed,1.0,0.6230450479452575,0.3156996536187665
Mixed,1.05,0.625670641059287,0.31326195529748013
Mixed,1.1,0.6276470816657421,0.3096321052275099
Mixed,1.15,0.6282178644205048,0.3052482774222208
Mixed,1.2,0.6282983418135811,0.3005647979234726
Mixed,1.25,0.6275992671767331,0.295196465076602
Mixed,1.3,0.6265070178524029,0.2892959501629422
Mixed,1.35,0.623978558282612,0.28277141791545835
Mixed,1.4,0.6213179102018899,0.2761441810861804
Mixed,1.45,0.616766124887996,0.26920564088312277
Mixed,1.5,0.611927904207531,0.262231432690562
Frame Difference,0.0,0.426333388066325,0.1646139318761416
Frame Difference,0.05,0.4486153429105767,0.18051729172139142
Frame Difference,0.1,0.4677342502294634,0.1961086876427826
Frame Difference,0.15,0.4835300043776439,0.2110408470218775
Frame Difference,0.2,0.4965975979433073,0.22597397595752033
Frame Difference,0.25,0.5083561823028321,0.2402242994403446
Frame Difference,0.3,0.5185047967143799,0.2527786495795789
Frame Difference,0.35,0.528893651107683,0.2646095778657463
Frame Difference,0.4,0.5383092745120719,0.2755606145495936
Frame Difference,0.45,0.5478589244212777,0.2856120765507218
Frame Difference,0.5,0.5564370493656463,0.2941853666934466
Frame Difference,0.55,0.5652677868365019,0.30222266984167395
Frame Difference,0.6,0.5735503043961135,0.30962421645226057
Frame Difference,0.65,0.581623973356567,0.31611079385999097
Frame Difference,0.7,0.5885902253752711,0.32173455120982497
Frame Difference,0.75,0.5948751009025459,0.32627958612142904
Frame Difference,0.8,0.6010470832235646,0.3300681770048454
Frame Difference,0.85,0.6064232332201117,0.3322565577953962
Frame Difference,0.9,0.6109396928698838,0.3333435267128845
Frame Difference,0.95,0.6149723628631965,0.33320322490233345
Frame Difference,1.0,0.618933400851544,0.33148129058366693
Frame Difference,1.05,0.621924391395484,0.32874185157149005
Frame Difference,1.1,0.6244149380611137,0.32534456561096764
Frame Difference,1.15,0.6252918674775357,0.3205207265681884
Frame Difference,1.2,0.6255612454651969,0.3146828878975588
Frame Difference,1.25,0.6251236501235611,0.30818109903685115
Frame Difference,1.3,0.6241879847952655,0.30113599296596194
Frame Difference,1.35,0.621770872545182,0.2937670397937254
Frame Difference,1.4,0.6187113469065514,0.2853170169572923
Frame Difference,1.45,0.6147875498005864,0.2767296757352201
Frame Difference,1.5,0.6110950334188304,0.2683504120050507
